Мемлекет басшысы Өзбекстан Президенті Шавкат Мирзиёевпен телефон арқылы сөйлесті	Telephone conversation with President of Uzbekistan Shavkat Mirziyoyev
Қостанай облысында ауыл шаруашылығы өнімдерінің бағасы 1,7%-ға төмендеді	Prices for agricultural products fell by 1.7% in Kostanay rgn
Алматыда репродуктивті медицина Институының жаңа орталығы ашылды	Almaty opened center of Institute of Reproductive Medicine
Ақмола облысында 13 суару жүйесін орнату жоспарлануда	Akmola rgn plans to install 13 irrigation systems
Қасым-Жомарт Тоқаев - Қазақстан Республикасының Президенті	Kassym-Jomart Tokayev is President of Kazakhstan
Теміржолмен жүк тасымалы көлемі 12 пайызға өсті	Volume of freight transportation by rail increased by 12% since the beginning of the year
Б. Сағынтаев Kazenergy форумының қатысушыларымен бірқатар екіжақты кездесулер өткізді	B.Sagintayev held bilateral meetings with participants of Kazenergy forum
А. Мамин «Экспо-2017» көрмесінде Ресей Федерациясының ұлттық күнін атап өту рәсіміне қатысты	A.Mamin visited celebration of national day of Russia at EXPO-2017
Б. Сағынтаев: Біз тұрақты энергетикалық даму идеясын қолдаймыз	B.Sagintayev participated in session of XIth Eurasian forum “Kazenergy”
Астанада қазақстандық мұнай туралы кітап таныстырылды	Book about Kazakhstan oil presented in Astana
Мәжіліс бюросы Палатаның жалпы отырысында талқыланатын мәселелерді айқындады	Bureau of Mazhiliz defined matters of Chamber’s next plenary session
Сенаторлар Премьер-министрдің орынбасары Е.Досаевпен кездесті	Senators met with Deputy Prime-Minister Y.Dossayev
М.Құл-Мұхаммед ШҚО-ның киелі жерлерімен танысты	M.Kul-Mukhammed familiarized with E. Kazakhstan sacral places
Қазақстанда Іле-Балқаш табиғи резерваты құрылады	State nature reserve “Ili-Balkhash” to be created in Kazakhstan
Кәсіпкерлікті дамыту бағдарламасы Қарағанды облысының 8 өңірінде жұмыс істейді	Entrepreneurship program works in 8 one-industry towns of Karaganda rgn
Ақтөбе облысында ламинат шығаратын зауыт салынады	Plant on production of laminate to be built in Aktobe rgn
Маңғыстауда «Рухани жаңғыру» аясындағы жобалар таныстырылды	Projects within “Rukhani zhangyru” presented in Mangystau
Шымкентте МЖӘ аясында онкологиялық орталық ашылады	Shymkent to build oncology center within PPP
Қазақстанда «Табысты болашаққа кепілдік» қайырымдылық акциясы өтуде	Charitable campaign "Guarantee of successful future!" kicks off in Kazakhstan
